spanish,english,category
El fin de semana,The weekend,Calendar
El lunes,Monday,Calendar
El martes,Tuesday,Calendar
El miercoles,Wednesday,Calendar
El Jueves (who-wa-ves),Thursday,Calendar
El viernes,Friday,Calendar
El sabado,Saturday,Calendar
El domingo,Sunday,Calendar
El mes,The month,Calendar
El anon,The year,Calendar
Enero,January ,Calendar
Febrero,Feburaruy ,Calendar
Marzo,March,Calendar
Abril,April,Calendar
Mayor,May,Calendar
Junio,June,Calendar
Julio,July,Calendar
Agosto,August,Calendar
Septiembre(Sep-tie-embre),September,Calendar
Octubre(Oct-tu-bre),October,Calendar
Noviembre,November,Calendar
Diciembre,December,Calendar
Una vez al ano,Once a year,Calendar
Dos veces a la semana,Twice a week,Calendar
Tres veces al dia,Three times a day ,Calendar
Estudio / as/ a,I / you / he-she  Studies,Normal Express
Escribo,Write,Normal Express
Leo,Read,Normal Express
apprender,Learn,Normal Express
Enseno / a ,Teaches,Normal Express
Pensar / Pienso,Think,Normal Express
Preferer / yo prefiero ,Prefer,Normal Express
Poder / Puedo ,Can,Normal Express
Volver / Vuelvo (I) / Vuelves ,To go back ,Normal Express
Querer / Quiero (I) / Quieres,Want,Basic Words
Dormir / Duermes (du-er-mes(,Sleep,Basic Words
Tener  / Tengo,Have,Basic Words
Traer  Traigo / Traes (you),Bring ,Basic Words
viajar (via-har),Travel,Normal Express
Despertarse (des-per-tarse),To wake up,Home
Lavantarse,To get up,Home
Vestirse(ves-tir-se),To get dressed,Home
Lavarse los dientes(dien-tes),To brush your teeth,Home
Desayunar (des-say-unar),To have breakfast,Home
Salir de casa,To leave the house,Home
llegar (e-eh-gar) a casa,To get home,Home
Cenar,To have dinner,Home
acostarse(aco-starse),To go to bed,Home
aburrida (abu-rrida),Bored,Normal Express
enfadado (en-fa-da-do),Angry,Basic Words
Estresada (en-tres-sa-da),Stressed,Basic Words
Preocupada (pre-ocu-pada),Worried,Basic Words
?Has comido ya hoy?,Have you eaten yet today?,Sentences
?Cuando fue la ultima vez que viajaste?,When was the last time you traveled?,Sentences
"Si tienes tiempo manana, ?quieres practicar espanol conmigo? ","If you have time tomorrow, do you want to pratice Spanish with me?",Sentences
Ella se levanta mas tarde los fines de semana (le-van-ta),She gets up later on the weekends.,Home
Un poco cansada,I'm a bit tired,Sentences
Los domingos a la tarde siempre me ver la tele,On Sunday afternoons I always watch TV.,Sentences
limpiar la casa,to clean the house ,Home
cocinar,to cook,Basic Words
A mi __________ le encanta cocinar u a mi tambien,My ________ loves to cook and I do to.,Sentences
?Os gusta cocinar?,Do you like cooking?,Sentences
Prefiere chatear (cha-tear)  con amigos que salir,He prefers chatting to his friends to going out.,Sentences
Jugar (hu-gar) a los videojuegos,To play video games.,Normal Express
A mis amigos y a mi nos encanta jugar a videojuegos,My friends and I love to play video games,Sentences
Echarse la siesta,to have a nap,Basic Words
Montar en bicicleta (bi-ci-cleta),to go cycling,Normal Express
ir al cine,to go to the cinema,Normal Express
Quedar con amigos,to meet up with friends,Normal Express
Quedo con mis amigos todas las semanas,I meet up with my friend every week,Sentences
Me gustar salir de fiesta a bares y discotecas(disco-tecas),I like to go to clubs and discos,Sentences
pasear (pa-se-ar),to go for a walk,Basic Words
Paseo en el parque por la tarde ,"In the afternoons, I go for a walk in the park",Sentences
Que te parece? (par-re-ce),What do you think?,Sentences
pelis (pe-lis),Film,Basic Words
tampoco,Don't leave,Basic Words
